hash,AMSAT,AMSAT_RGC,BreakID-Kissat,CaDiCaL,Cadical_ESA,IsaSAT,Kissat_MAB-DC,Kissat_MAB_Binary,Kissat_MAB_ESA,hCaD-bva,hCaD-pbva,hKis-bva,hKis-pbva,kissat-sc2024,vresult,nb_vars,nb_clauses,family,track,avg_time
2b043efb4bde6d83f7c95a8e8e2d7bf8,157.927,158.253,2219.94,0.011656,0.0106,10000.0,440.352,10000.0,1754.48,0.095255,0.096073,10000.0,10000.0,0.007001,sat,,,cryptography-simon,main_2024 | submissions_2024,3835.914
2b60f9be1439f63b7f174c6b8ca7fedf,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown,,,sgen,anni_2022 | crafted_2009 | main_2024,10000.000
2b8a711debc3a6edd01e7b4e305342d9,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown,,,reg-n,main_2024 | submissions_2024,10000.000
2c3c28f6d939d157e909c57a265fc908,10000.0,10000.0,10000.0,4405.94,10000.0,10000.0,2443.76,2883.65,10000.0,10000.0,4187.04,4628.1,3464.61,10000.0,unsat,,,mutilated-chessboard,anni_2022 | main_2018 | main_2024,6546.645
2d6d26e1c5b4f2763c03697a6d00d3cf,10000.0,10000.0,4957.71,10000.0,4524.46,10000.0,1750.12,2091.1,10000.0,10000.0,10000.0,10000.0,2553.65,1865.05,unsat,,,subset-cardinality,anni_2022 | crafted_2016 | main_2024,6616.762
2dd4b14a8a820e7baa073554ae2c6cb0,10000.0,10000.0,222.438,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unsat,,,relativized-pigeon-hole,main_2024 | submissions_2024,10000.000
2eb039a5aa6bfb6e41d3afd41071ca55,540.479,695.192,240.016,325.958,301.452,1175.92,560.488,578.34,579.433,319.273,288.486,332.617,1386.66,376.759,unsat,,,argumentation,main_2024 | submissions_2023,565.944
2fcd8533eba981967292f1b6e41f7433,10000.0,10000.0,17.7967,0.011878,0.010129,10000.0,570.345,3235.34,10000.0,0.092827,0.09402,10000.0,10000.0,0.00705,sat,,,cryptography-simon,main_2024 | submissions_2024,3982.355
303480ca7e8322d771c94caf4ebd4e95,7.79144,8.82091,11.0388,23.9227,25.1332,10000.0,12.9027,19.2334,19.2705,15.1051,18.8609,18.8941,15.7979,7.1021,sat,,,random-circuits,main_2024 | submissions_2024,925.111
305ad7d773d6c72be9b1efbf7bf482e0,558.352,615.598,628.327,724.844,714.249,1365.55,2967.1,1213.78,1357.86,756.14,697.834,574.175,790.816,620.504,unsat,,,cryptography-ascon,main_2024 | submissions_2023,1071.168
30f0db845937bbda3ffde60e5ed4cb3f,10000.0,10000.0,1586.47,10000.0,10000.0,10000.0,4427.31,2605.03,2030.91,10000.0,10000.0,10000.0,10000.0,271.844,sat,,,heule-folkman,main_2024 | submissions_2024,7212.281
3129198788f182ce6955b18aa3c7e61e,10000.0,10000.0,139.887,0.012834,0.011867,10000.0,1367.21,196.282,546.669,0.101526,0.101905,10000.0,10000.0,0.007936,sat,,,cryptography-simon,main_2024 | submissions_2024,2919.127
3184e52e950ac39095a801c418f68d50,1191.97,1348.8,2079.82,1693.43,1749.91,10000.0,2421.51,2879.46,2238.35,1493.74,1519.87,2216.2,4436.54,1194.77,unsat,,,minimum-disagreement-parity,main_2024 | submissions_2022,2894.889
31bb67fe67e57dbeb8c4819b01892588,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9.14583,unsat,,,miter,main_2024 | submissions_2024,9091.741
